6_squared,target
20.000000000000004,20.10747173804365
60.99999999999998,61.7637133216647
74.0,74.65116199975344
69.0,69.42464536866434
65.99999999999999,66.76730392000617
34.0,34.50518926982379
2.0000000000000004,2.6043094197959804
40.00000000000001,40.022463876928136
74.0,74.2280712829358
76.99999999999997,77.91938437797242
35.000000000000014,35.5423021756311
69.0,69.7290446540074
54.999999999999986,55.948506499786546
34.0,34.15585798893914
16.0,16.271431627981613
62.0,62.63095698546911
12.999999999999996,13.447171559609652
57.000000000000014,57.498325210241994
22.0,22.546878678793377
45.00000000000001,45.71389367094083
94.00000000000004,94.07420629613344
36.999999999999986,37.17816259162717
93.00000000000003,93.97358591943278
25.999999999999996,26.67429883457789
5.999999999999999,6.4639080288213435
65.99999999999999,66.40465523376716
17.0,17.198669240687607
57.000000000000014,57.42313875349093
65.99999999999999,66.09829649197626
41.0,41.00567975869237
25.0,25.32985141104991
23.999999999999996,24.9682888463154
97.99999999999997,98.39651851341948
16.0,16.69112877039639
58.00000000000002,58.18866175488719
29.99999999999999,30.849495928730093
41.99999999999999,42.32992553209742
67.0,67.45829782464713
76.00000000000001,76.83818811345239
12.999999999999996,13.678560536315999
12.999999999999996,13.489198020236506
60.99999999999998,61.783893097966306
29.99999999999999,30.37901598802184
76.00000000000001,76.14965848917704
64.99999999999999,65.76087243974736
81.99999999999999,82.1758033437963
16.0,16.367528408192587
15.000000000000005,15.933789039810073
60.99999999999998,61.00720995836585
32.00000000000001,32.289471130494285
81.99999999999999,82.78716746143445
76.99999999999997,77.99901380553933
71.0,71.33990339495301
70.0,70.17942527824107
0.0,0.3039596610986295
81.0,81.82699823684452
52.999999999999986,53.53404989757659
10.000000000000002,10.6891383608551
40.00000000000001,40.34533405150733
78.00000000000001,78.23350047574112
17.999999999999996,18.310264500578718
41.99999999999999,42.05608835550455
54.999999999999986,55.20016009935944
50.000000000000014,50.52722650562102
15.000000000000005,15.492365713945055
94.00000000000004,94.81630322697352
11.999999999999998,12.329444729205186
76.00000000000001,76.8808641469798
95.99999999999999,96.35223471790577
10.000000000000002,10.518452978367556
11.0,11.263703239976886
44.0,44.77976890420857
9.0,9.872809008644557
49.0,49.40590722308277
88.0,88.0704387137402
1.0,1.7463737479901154
99.0,99.42377208606148
71.99999999999999,72.93283896134535
56.0,56.14729851584487
81.0,81.95263165378141
7.000000000000001,7.532858052329705
51.00000000000001,51.42655488389981
58.00000000000002,58.19976638310117
71.99999999999999,72.68518737914073
27.0,27.880132095478448
29.99999999999999,30.7047764796174
99.0,99.86799991160713
57.000000000000014,57.87528953231072
2.9999999999999996,3.0376683022684703
54.999999999999986,55.46590034205339
76.00000000000001,76.02578896501639
22.0,22.43101207805964
54.0,54.06158324356594
88.0,88.91874256144945
13.999999999999996,14.762082160915304
30.999999999999996,31.241576894385855
45.999999999999986,46.51514197709921
